"","datetime","lat","long","mag"
"718",1985-06-21 01:15:34,32.10767,-115.68633,3.35
"719",1985-06-21 09:51:51,33.10778,-117.41508,3.32
"720",1985-06-29 18:23:50,33.48501,-116.55217,3.36
"721",1985-07-06 11:11:30,32.24233,-114.67033,3.07
"722",1985-07-10 07:23:45,35.5519,-118.50625,3.1
"723",1985-07-16 17:57:51,34.54031,-116.84324,3.78
"724",1985-07-18 14:05:25,34.42549,-116.5397,4.02
"725",1985-08-04 19:42:41,35.97695,-117.78724,3.1
"726",1985-08-05 16:08:10,33.99603,-116.81779,3.12
"727",1985-08-07 21:28:40,35.50983,-116.13833,3.04
"728",1985-08-12 21:01:20,33.01483,-117.85333,3.49
"729",1985-08-14 06:12:56,35.02953,-116.91777,3.39
"730",1985-08-14 13:20:13,32.5745,-117.04183,3.11
"731",1985-08-19 22:40:23,34.55327,-116.78345,3.31
"732",1985-08-21 00:19:03,32.09242,-116.37448,3.24
"733",1985-08-21 08:56:27,32.5417,-115.23583,3.24
"734",1985-08-22 00:19:42,35.88833,-117.7335,3.28
"737",1985-08-29 04:49:34,32.88714,-115.50836,3.23
"739",1985-08-29 07:59:08,34.32397,-116.80874,3.93
"742",1985-09-07 19:24:37,33.68693,-116.72646,3.03
"743",1985-09-14 19:18:04,34.40489,-119.78563,3.05
"744",1985-09-19 07:35:03,34.47829,-119.39013,3.08
"745",1985-09-27 19:24:44,32.90467,-118.56433,3.01
"748",1985-10-11 00:16:26,35.62939,-116.26228,3.68
"749",1985-10-12 09:04:47,34.4314,-118.56706,3.12
"750",1985-10-12 19:34:36,32.35433,-119.00617,3.34
"754",1985-10-30 20:39:39,32.97332,-115.5558,3.07
"755",1985-10-31 19:55:04,34.46644,-117.89507,3.61
"756",1985-11-04 15:09:28,32.60467,-118.06567,3.34
"757",1985-11-05 22:06:35,35.95536,-118.37409,3.26
"758",1985-11-10 03:25:15,33.154,-118.60767,3.33
"760",1985-11-19 11:50:19,34.63133,-121.36817,3.11
"761",1985-11-19 12:44:55,32.1775,-115.52383,3.51
"762",1985-11-25 23:44:21,33.4505,-119.16933,3.2
"763",1985-12-01 17:35:18,34.15967,-117.31876,3.21
"765",1985-12-12 07:43:34,35.5185,-116.86356,3.01
"766",1985-12-16 13:53:47,36.00339,-117.86674,3.04
"768",1985-12-28 22:37:06,32.61671,-115.59989,3.02
"769",1985-12-30 04:54:14,35.42805,-119.98798,3.26
"770",1985-12-30 09:10:58,32.36934,-115.29656,3.1
"771",1986-01-12 09:41:48,35.32681,-118.52249,3.11
"772",1986-01-14 13:12:14,33.92215,-116.70064,3.3
"773",1986-01-22 16:26:54,33.71026,-119.12358,3.36
"774",1986-02-03 12:28:09,32.24164,-117.7385,3.03
"776",1986-02-10 00:42:03,32.12317,-117.53817,3.31
"777",1986-02-14 01:19:36,32.0695,-115.43417,3.06
"778",1986-02-17 02:12:33,34.11816,-116.03559,3.94
"779",1986-02-17 10:58:38,32.95293,-115.55101,3.36
"780",1986-02-17 19:15:08,32.198,-114.88433,3.14
"783",1986-02-19 00:47:26,32.50867,-117.4865,3.91
"784",1986-02-26 02:42:50,33.41117,-120.27817,3.01
"786",1986-03-03 13:18:20,33.75373,-117.52551,3.28
"787",1986-03-09 22:41:42,34.11441,-117.76665,3.42
"788",1986-03-10 15:33:16,34.435,-119.80383,4.14
"790",1986-03-17 00:43:24,33.629,-116.96317,3.24
"791",1986-03-20 06:49:40,33.79777,-118.31374,3.22
"792",1986-04-05 06:50:40,33.7331,-118.02276,3.67
"793",1986-04-05 17:21:49,33.34312,-115.70722,3.53
"795",1986-04-24 02:01:48,32.46901,-115.25473,3.52
"799",1986-04-25 19:09:27,33.16453,-115.65307,3.23
"800",1986-05-01 01:08:50,35.95466,-117.24011,3.13
"801",1986-05-05 15:51:04,35.02984,-118.93207,3.28
"803",1986-05-07 12:34:02,34.20261,-117.06694,3.06
"804",1986-05-09 23:16:47,32.4725,-118.18717,3.07
"805",1986-05-11 17:31:57,32.12482,-115.65385,3.49
"806",1986-05-13 11:29:31,35.25608,-117.33183,3.35
"807",1986-05-19 04:12:53,33.8819,-118.40515,3.04
"808",1986-05-19 21:22:44,32.107,-117.59617,3.06
"809",1986-05-20 15:05:14,32.48612,-115.44622,3.01
"810",1986-05-23 11:41:55,35.80472,-118.02231,3.86
"811",1986-05-24 08:56:29,35.26184,-118.58591,3.32
"812",1986-05-31 01:42:40,34.11041,-116.60831,3.48
"813",1986-06-03 14:14:48,33.79317,-116.339,3.74
"814",1986-06-03 23:13:08,32.2765,-115.02833,3.24
"815",1986-06-07 09:50:02,35.43887,-120.70521,3.11
"816",1986-06-18 14:13:26,33.94459,-116.74416,3.38
"817",1986-06-23 23:45:58,32.12033,-115.1075,3.9
"821",1986-06-26 05:39:47,33.8656,-118.45422,3.21
"824",1986-06-30 15:45:35,32.27253,-115.06917,3.03
"825",1986-07-05 03:24:22,35.08132,-119.10495,3.32
